ID,Apartment_renovation,Windows,Quantity_of_rooms,Distance_min,Area_sm,Cost_per_month,Is_included_utility_charges,Lease_term,Elevator_total,With_children,With_pets,WashingRoom_total,Loggia_and_Balcony,Price_per_square_meter
274689762,Евроремонт,На улицу,3.0,15.0,96.0,100000.0,1,Срок аренды - Длительный,3.0,1.0,0.0,1.0,1.0,1041.67
251618576,Евроремонт,На улицу и двор,2.0,23.0,60.0,46000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,1.0,766.67
186299640,Косметический,Во двор,1.0,9.0,38.0,32000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0,842.11
240575765,Евроремонт,Во двор,2.0,4.0,65.0,45000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,2.0,692.31
238230007,Евроремонт,На улицу,1.0,5.0,43.0,38000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0,883.72
273672956,Евроремонт,Нет информации,1.0,15.0,26.0,23000.0,1,Срок аренды - На несколько месяцев,2.0,0.0,0.0,1.0,1.0,884.62
274667443,Косметический,На улицу,1.0,9.0,36.4,34000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0,934.07
256518254,Евроремонт,На улицу,1.0,17.0,38.0,35000.0,1,Срок аренды - Длительный,3.0,1.0,0.0,1.0,1.0,921.05
265357607,Косметический,Во двор,1.0,15.0,30.5,35000.0,1,Срок аренды - Длительный,2.0,0.0,0.0,1.0,1.0,1147.54
245971204,Косметический,На улицу,1.0,3.0,38.5,35000.0,1,Срок аренды - Длительный,3.0,1.0,0.0,1.0,1.0,909.09
274344079,Евроремонт,Нет информации,2.0,15.0,50.0,38000.0,1,Срок аренды - Длительный,2.0,0.0,0.0,1.0,1.0,760.0
274267929,Косметический,Нет информации,2.0,9.0,52.0,42000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0,807.69
273318241,Евроремонт,Во двор,1.0,15.0,40.0,43000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0,1075.0
270883351,Косметический,Во двор,1.0,14.0,29.0,45000.0,1,Срок аренды - Длительный,6.0,0.0,0.0,1.0,1.0,1551.72
273780889,Евроремонт,На улицу и двор,2.0,22.0,56.0,45000.0,1,Срок аренды - Длительный,3.0,0.0,0.0,1.0,1.0,803.57
272536453,Евроремонт,Нет информации,2.0,19.0,54.0,45000.0,1,Срок аренды - Длительный,3.0,1.0,0.0,1.0,1.0,833.33
268878838,Косметический,Во двор,2.0,12.0,64.0,49700.0,1,Срок аренды - Длительный,2.0,0.0,0.0,1.0,1.0,776.56
270572812,Евроремонт,На улицу и двор,2.0,11.0,48.1,50000.0,1,Срок аренды - Длительный,4.0,1.0,0.0,1.0,1.0,1039.5
269471423,Евроремонт,На улицу и двор,5.0,5.0,124.0,100000.0,1,Срок аренды - Длительный,2.0,0.0,0.0,2.0,2.0,806.45
