ID,Parking,Apartment_renovation,Windows,Quantity_of_rooms,Distance_min,Area_sm,Cost_per_month,Is_included_utility_charges,Lease_term,Elevator_total,With_children,With_pets,WashingRoom_total,Loggia_and_Balcony
274252871,подземная,,На улицу и двор,3,5.0,105.0,240000.0,1,Срок аренды - Длительный,3.0,1.0,1.0,3.0,1.0
269132104,подземная,Евроремонт,Во двор,1,10.0,60.0,250000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,
273911217,,Дизайнерский,На улицу,5,6.0,155.0,250000.0,0,,1.0,,,,
269716469,подземная,Евроремонт,На улицу и двор,3,5.0,134.0,300000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,2.0,
274137125,подземная,Дизайнерский,На улицу и двор,5,,214.6,500000.0,0,,1.0,1.0,1.0,4.0,
274140104,наземная,,Во двор,5,5.0,204.0,500000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,4.0,
271258034,,Евроремонт,Во двор,5,9.0,180.0,500000.0,0,,1.0,1.0,0.0,,1.0
166833883,,Дизайнерский,На улицу,6,6.0,260.0,590000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,4.0,5.0
273798495,,Дизайнерский,На улицу и двор,4,6.0,237.1,650000.0,1,Срок аренды - Длительный,2.0,,,3.0,1.0
274810876,подземная,Евроремонт,,4,4.0,215.0,700000.0,0,,,,,3.0,
274199925,,,Во двор,3,,100.0,115000.0,1,Срок аренды - Длительный,,1.0,0.0,,
274223065,,Дизайнерский,На улицу,2,8.0,60.0,120000.0,0,,,,,,
271264562,наземная,Евроремонт,На улицу и двор,5,5.0,170.0,175000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,2.0,
272632345,,,,3,6.0,98.0,185000.0,0,,1.0,,,1.0,
274018110,подземная,,,2,5.0,175.0,200000.0,0,,2.0,,,2.0,
274029603,,Евроремонт,На улицу и двор,4,5.0,180.0,350000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,3.0,
274548856,подземная,Дизайнерский,Во двор,4,6.0,132.0,350000.0,1,Срок аренды - Длительный,4.0,1.0,1.0,2.0,
271766412,,Евроремонт,Во двор,6,4.0,228.0,400000.0,0,,1.0,,,2.0,1.0
269165004,многоуровневая,,,3,2.0,92.3,470000.0,0,,2.0,,,2.0,
274105576,подземная,Евроремонт,На улицу и двор,5,5.0,204.0,500000.0,0,,1.0,1.0,1.0,4.0,1.0
273785180,,Евроремонт,На улицу и двор,4,4.0,160.0,650000.0,0,,1.0,1.0,1.0,3.0,
273785183,,Евроремонт,На улицу и двор,4,4.0,140.0,650000.0,0,,1.0,1.0,1.0,3.0,
273785185,,Евроремонт,На улицу и двор,4,4.0,140.0,700000.0,0,,1.0,1.0,1.0,3.0,2.0
274528249,наземная,Дизайнерский,,1,3.0,45.0,120000.0,1,Срок аренды - Длительный,1.0,,,1.0,1.0
274431438,наземная,Евроремонт,На улицу и двор,3,3.0,65.0,130000.0,0,,1.0,1.0,1.0,1.0,
274064272,,Евроремонт,На улицу и двор,3,5.0,87.0,140000.0,1,Срок аренды - Длительный,1.0,,,1.0,
273078340,,Дизайнерский,На улицу и двор,3,6.0,90.0,145000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,1.0
274359655,подземная,Евроремонт,,4,7.0,180.0,350000.0,0,,1.0,,,3.0,
272226556,,Дизайнерский,,4,10.0,180.0,400000.0,0,,,1.0,0.0,,1.0
273114736,,Дизайнерский,,4,5.0,170.0,650000.0,0,,,1.0,1.0,,2.0
274319903,открытая,Косметический,Во двор,3,3.0,75.0,99000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,
273427928,,Дизайнерский,На улицу,3,11.0,87.0,100000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,1.0,
274296188,открытая,Косметический,На улицу и двор,3,8.0,105.0,180000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,2.0,1.0
272887177,подземная,,Во двор,3,5.0,99.0,200000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,2.0,1.0
269319175,подземная,,Во двор,1,7.0,60.0,250000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,
269687656,,Евроремонт,Во двор,4,6.0,140.0,280000.0,0,,1.0,,,2.0,
274501292,,Дизайнерский,На улицу и двор,3,,120.0,300000.0,0,,1.0,1.0,1.0,2.0,
261980888,подземная,,Во двор,3,6.0,133.0,400000.0,1,Срок аренды - Длительный,4.0,1.0,0.0,2.0,
272567246,,,Во двор,4,4.0,180.0,400000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,3.0,1.0
274930877,подземная,,,4,5.0,219.0,450000.0,1,Срок аренды - Длительный,,,,3.0,1.0
273576298,подземная,,Во двор,3,6.0,130.0,450000.0,1,Срок аренды - Длительный,,1.0,0.0,2.0,1.0
271108834,подземная,Дизайнерский,На улицу и двор,5,8.0,180.0,500000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,3.0,1.0
256631457,наземная,,На улицу и двор,4,8.0,190.0,520000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,2.0,1.0
271988698,,Дизайнерский,На улицу и двор,3,9.0,174.0,550000.0,1,Срок аренды - Длительный,4.0,1.0,1.0,2.0,
271305644,,Дизайнерский,,6,12.0,336.0,590000.0,0,,,,,,
271097684,подземная,Дизайнерский,Во двор,4,2.0,170.0,650000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,3.0,2.0
273106501,наземная,,На улицу и двор,6,5.0,338.0,650000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,3.0,
274066192,наземная,,На улицу,2,8.0,52.0,80000.0,1,Срок аренды - Длительный,,1.0,0.0,1.0,
273763131,,Без ремонта,,3,4.0,91.0,95000.0,0,,1.0,,,1.0,
273684904,наземная,,На улицу и двор,2,9.0,56.0,105000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,1.0
271542995,наземная,,Во двор,3,8.0,80.0,120000.0,1,Срок аренды - Длительный,1.0,,,1.0,2.0
273012299,,,На улицу и двор,2,8.0,94.0,135000.0,1,Срок аренды - Длительный,1.0,,,1.0,
270282698,,,На улицу,2,7.0,40.0,135000.0,1,Срок аренды - Длительный,6.0,1.0,0.0,2.0,
274336333,наземная,Евроремонт,Во двор,3,,94.0,145000.0,1,Срок аренды - Длительный,,1.0,0.0,2.0,
272244255,наземная,,На улицу,3,6.0,90.0,145000.0,1,,,,,1.0,
272701749,наземная,,На улицу,2,7.0,120.0,165000.0,1,Срок аренды - Длительный,,,,1.0,
271204399,,Евроремонт,Во двор,5,7.0,170.0,175000.0,0,,1.0,,,,
274879736,открытая,Косметический,На улицу и двор,3,5.0,140.0,180000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,2.0,
271827359,,Дизайнерский,,,7.0,41.0,180000.0,0,,,,,,
256631941,наземная,,На улицу,3,7.0,120.0,190000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,2.0,
272917777,подземная,Евроремонт,,3,10.0,95.0,200000.0,0,,1.0,,,2.0,1.0
252536547,,Косметический,Во двор,4,4.0,130.0,220000.0,1,,1.0,1.0,1.0,2.0,
274434108,,Дизайнерский,Во двор,3,7.0,70.0,230000.0,1,Срок аренды - Длительный,4.0,1.0,0.0,2.0,
272559990,,Дизайнерский,,,7.0,63.0,270000.0,0,,,,,,
269465572,подземная,Евроремонт,,4,7.0,189.0,330000.0,0,,1.0,,,2.0,1.0
263779667,подземная,,Во двор,2,4.0,120.0,330000.0,1,Срок аренды - Длительный,1.0,,,2.0,
272128059,,Дизайнерский,На улицу и двор,4,,212.0,350000.0,0,,1.0,1.0,1.0,2.0,
224335583,,Евроремонт,,4,12.0,111.0,350000.0,1,Срок аренды - Длительный,,1.0,1.0,3.0,1.0
271627634,,Дизайнерский,,2,7.0,92.0,350000.0,0,,,,,,
274700592,,Без ремонта,На улицу,4,4.0,132.0,350000.0,0,,1.0,,,2.0,
273231375,,Дизайнерский,,4,5.0,202.0,360000.0,0,,,,,,
271586905,,Дизайнерский,,2,7.0,123.0,400000.0,0,,,,,,
274315960,,Дизайнерский,,3,10.0,130.0,450000.0,0,,,1.0,0.0,,1.0
272845144,,Дизайнерский,,3,15.0,180.0,450000.0,0,,,,,,
274743086,,Евроремонт,На улицу и двор,5,4.0,220.0,450000.0,1,Срок аренды - Длительный,4.0,1.0,1.0,3.0,1.0
271776317,,Евроремонт,Во двор,4,6.0,180.0,450000.0,0,,1.0,1.0,1.0,2.0,
267884643,подземная,Дизайнерский,На улицу и двор,4,15.0,206.0,470000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,3.0,
274252226,подземная,Евроремонт,Во двор,5,6.0,215.0,500000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,4.0,
273970263,наземная,Дизайнерский,,4,7.0,195.0,520000.0,1,Срок аренды - Длительный,1.0,,,2.0,1.0
269515978,подземная,,Во двор,4,4.0,186.0,590000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,2.0,
267915862,,Дизайнерский,Во двор,6,5.0,336.0,590000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,4.0,
273687210,,Евроремонт,На улицу,6,4.0,380.0,650000.0,0,,1.0,1.0,1.0,3.0,
274009456,,Евроремонт,На улицу и двор,2,5.0,53.0,80000.0,0,,1.0,,,1.0,
274723871,наземная,Евроремонт,Во двор,2,10.0,53.0,80000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,
